Pipeline,File,nDCG@5,MRR@5
text,vanilla_qrels_retrieve_only.json,0.2859641479100482,0.24822222222222223
text,vanilla_qrels_cohere_10.json,0.3615091562277023,0.31222222222222223
text,vanilla_qrels_reranker2_20.json,0.24708115506631587,0.21266666666666667
text,vanilla_qrels_cohere_20.json,0.36424990719655187,0.2988888888888889
text,vanilla_qrels_reranker2_10.json,0.26136271747933276,0.22322222222222224
text,vanilla_qrels_reranker2_5.json,0.28842461621957177,0.2515555555555556
text,vanilla_qrels_colbert_10.json,0.32385106513001216,0.26844444444444443
text,vanilla_qrels_cohere_5.json,0.28784408819891105,0.24988888888888888
text,vanilla_qrels_colbert_20.json,0.3495610628670598,0.2806666666666667
text,vanilla_qrels_colbert_5.json,0.29582167648309254,0.25955555555555554
colpali,colpali_qrels.json,0.3150948928792058,0.2758888888888889
colpali,colpali_20_qrels.json,0.2553593460402787,0.23222222222222225
colpali,colpali_10_qrels.json,0.2736807188628209,0.24355555555555555
colpali,colpali_5_qrels.json,0.32236979274438593,0.2882222222222222
hybrid,voyage_text_minmax_qrels_0.50.json,0.4644591241652225,0.40288888888888885
hybrid,voyage_text_zscore_qrels_0.70.json,0.4582978001275661,0.40755555555555556
hybrid,voyage_text_zscore_qrels_0.50.json,0.45285964970082915,0.39155555555555555
hybrid,voyage_text_minmax_qrels_0.70.json,0.46717235312136285,0.417
hybrid,voyage_colpali_minmax_qrels_0.50.json,0.4014096924860228,0.35744444444444445
hybrid,voyage_text_rank_qrels_0.80.json,0.43288718071537874,0.3821111111111111
hybrid,voyage_colpali_zscore_qrels_0.70.json,0.4163234091191355,0.3687777777777778
hybrid,voyage_text_rank_qrels_0.55.json,0.4738305799380941,0.4197777777777778
hybrid,voyage_colpali_rank_qrels_0.75.json,0.41554156798706965,0.3696666666666667
hybrid,voyage_colpali_rank_qrels_0.55.json,0.40948674451188377,0.3641111111111111
hybrid,voyage_text_rank_qrels_0.75.json,0.44036321952866087,0.3917777777777778
hybrid,voyage_colpali_zscore_qrels_0.50.json,0.4032307865895161,0.3557777777777778
hybrid,voyage_colpali_minmax_qrels_0.70.json,0.4115485539200112,0.36844444444444446
hybrid,voyage_colpali_rank_qrels_0.80.json,0.41699513969576346,0.3715555555555556
hybrid,voyage_text_minmax_qrels_0.60.json,0.4684163505329394,0.4122222222222222
hybrid,voyage_text_zscore_qrels_0.60.json,0.4662874382546504,0.41211111111111115
hybrid,voyage_text_rank_qrels_0.65.json,0.47025653580104676,0.41944444444444445
hybrid,voyage_colpali_minmax_qrels_0.60.json,0.41665514381459334,0.37333333333333335
hybrid,voyage_colpali_zscore_qrels_0.60.json,0.4115760804336406,0.36666666666666664
hybrid,voyage_colpali_rank_qrels_0.65.json,0.41731843454128587,0.3744444444444444
hybrid,voyage_colpali_minmax_qrels_0.55.json,0.41373612921852637,0.3715555555555556
hybrid,voyage_colpali_zscore_qrels_0.75.json,0.4171962741429452,0.3698888888888889
hybrid,voyage_colpali_rank_qrels_0.70.json,0.41197113384298967,0.36922222222222223
hybrid,voyage_text_rank_qrels_0.50.json,0.4746327320987749,0.41855555555555557
hybrid,voyage_colpali_minmax_qrels_0.80.json,0.4080966701813045,0.36377777777777776
hybrid,voyage_colpali_zscore_qrels_0.80.json,0.4116946308390139,0.3668888888888889
hybrid,voyage_text_rank_qrels_0.70.json,0.4685503821099596,0.417
hybrid,voyage_colpali_rank_qrels_0.50.json,0.41094031622057753,0.3637777777777778
hybrid,voyage_colpali_zscore_qrels_0.55.json,0.4064300883458293,0.35766666666666663
hybrid,voyage_colpali_minmax_qrels_0.75.json,0.40867737686618855,0.3645555555555555
hybrid,voyage_text_minmax_qrels_0.80.json,0.4564180385029265,0.405
hybrid,voyage_text_minmax_qrels_0.55.json,0.4742495498681053,0.41844444444444445
hybrid,voyage_text_zscore_qrels_0.75.json,0.4560073297586275,0.40222222222222226
hybrid,voyage_text_zscore_qrels_0.55.json,0.46300555245652875,0.4098888888888889
hybrid,voyage_text_minmax_qrels_0.75.json,0.4627961568236348,0.41344444444444445
hybrid,voyage_text_zscore_qrels_0.80.json,0.4497668530079067,0.3962222222222222
hybrid,voyage_text_rank_qrels_0.60.json,0.4742927362176048,0.4225555555555556
hybrid,voyage_colpali_minmax_qrels_0.65.json,0.41511898806409114,0.3711111111111111
hybrid,voyage_colpali_zscore_qrels_0.65.json,0.4115760804336406,0.36666666666666664
hybrid,voyage_colpali_rank_qrels_0.60.json,0.421658664475449,0.3803333333333333
hybrid,voyage_text_minmax_qrels_0.65.json,0.4661258801640008,0.41133333333333333
hybrid,voyage_text_zscore_qrels_0.65.json,0.46570673156976633,0.41133333333333333
