Subfolder,Index,Exact Match,F1-Score,METEOR
image,3,0.0,0.26666666666666666,0.2947078492687292
image,1,0.0,0.0,0.0
image,8,0.0,0.0,0.0
image,9,0.0,0.0,0.07692307692307694
image,2,0.0,0.11764705882352942,0.13626834381551364
image,10,0.0,0.0,0.0
image,5,0.0,0.24615384615384614,0.1801589734606289
image,0,0.0,0.0,0.044247787610619475
image,4,0.0,0.13333333333333333,0.2608471074380166
image,6,0.0,0.4230769230769231,0.6502852095557263
image,11,0.0,0.125,0.14648437500000003
image,15,1.0,1.0,0.07142857142857145
image,14,0.0,0.16,0.10989010989010989
image,7,0.0,0.23728813559322035,0.17027863777089783
image,18,0.0,0.0,0.0
image,16,0.0,0.13953488372093023,0.10683760683760686
image,12,0.0,0.0,0.0
image,20,0.0,0.0,0.0
image,24,0.0,0.24096385542168672,0.22455830388692574
image,19,0.0,0.0,0.03344481605351171
image,22,0.0,0.17500000000000002,0.1976997146932953
image,23,0.0,0.10752688172043011,0.1320700545506747
image,13,0.0,0.1038961038961039,0.18300635648485017
image,17,0.0,0.0,0.0
image,25,0.0,0.3157894736842105,0.36805968178517195
image,27,0.0,0.2857142857142857,0.2572874493927126
image,28,0.0,0.0,0.3670058139534884
image,31,0.0,0.1,0.23058855413523646
image,29,0.0,0.4736842105263157,0.4492194674012856
image,30,0.0,0.0,0.034013605442176874
image,26,0.0,0.1395348837209302,0.19001116071428575
image,36,0.0,0.0,0.08720930232558141
image,32,0.0,0.8,0.6493050212031054
image,33,0.0,0.3783783783783784,0.3057534246575342
image,34,0.0,0.5294117647058825,0.49568722834042744
image,37,0.0,0.5714285714285714,0.5241735537190083
image,39,0.0,0.25,0.24089767733835532
image,35,0.0,0.26666666666666666,0.26186126335603177
image,43,0.0,0.0,0.0
image,38,0.0,0.04545454545454545,0.02840909090909091
image,42,0.0,0.5405405405405405,0.5694058958025114
image,40,0.0,0.07272727272727272,0.13837638376383765
image,44,0.0,0.07407407407407407,0.03816793893129772
image,45,0.0,0.0,0.04629629629629631
image,41,0.0,0.12820512820512822,0.18130081300813014
image,47,0.0,0.18867924528301888,0.22093333333333337
image,48,0.0,0.0,0.0
image,49,0.0,0.0,0.0
image,46,0.0,0.0,0.04504504504504506
image,50,0.0,0.14583333333333334,0.1568265682656827
image,55,0.0,0.0,0.1060070671378092
image,52,0.0,0.19672131147540983,0.2526416366906475
image,56,1.0,1.0,0.07692307692307694
image,51,0.0,0.49350649350649345,0.3780537958700703
image,57,0.0,0.0,0.0
image,53,0.0,0.36734693877551017,0.33189033189033196
image,54,0.0,0.25,0.22994949494949496
image,61,0.0,0.23529411764705882,0.1529051987767584
image,59,0.0,0.0,0.0
image,60,0.0,0.345679012345679,0.43171153192627787
image,63,0.0,0.375,0.1858736059479554
image,62,0.0,0.26,0.3125663176882538
image,64,0.0,0.5517241379310345,0.4533381254602195
image,66,0.0,0.5,0.48952847267939437
image,65,0.0,0.39999999999999997,0.28378739316239315
image,69,0.0,0.0,0.0
image,71,0.0,0.0,0.06060606060606062
image,70,0.0,0.0,0.0
image,58,0.0,0.0,0.0
image,68,0.0,0.0,0.053191489361702135
image,74,0.0,1.0,0.0
image,76,0.0,0.22000000000000003,0.20348837209302326
image,72,0.0,0.43749999999999994,0.3935500174954317
image,78,0.0,0.3555555555555555,0.3002738654147106
image,77,0.0,0.24390243902439027,0.1553816058165808
image,75,0.0,0.0,0.0
image,73,0.0,0.4444444444444444,0.38304470890620107
image,79,0.0,0.3870967741935483,0.3379868716693919
image,82,0.0,0.0,0.0
image,80,0.0,0.34782608695652173,0.32483221476510066
image,81,0.0,0.0,0.0
image,83,0.0,0.0,0.04310344827586207
image,85,0.0,0.24242424242424243,0.34278382011487235
image,86,0.0,0.15384615384615383,0.16176123628642208
image,84,0.0,0.0,0.0
image,90,0.0,0.8571428571428571,0.6324868675826162
image,91,0.0,0.6666666666666667,0.6086254829893507
image,89,0.0,0.48,0.4241440753468246
image,87,0.0,0.044444444444444446,0.11210762331838568
image,88,0.0,0.6874999999999999,0.5605235028808302
image,93,0.0,0.7317073170731706,0.38096190199214786
image,94,0.0,0.125,0.24226641414141412
image,92,0.0,0.8461538461538461,0.7078410311493017
image,95,0.0,0.05263157894736842,0.08426966292134833
image,96,0.0,0.26666666666666666,0.3318903318903319
image,98,0.0,0.15384615384615383,0.09900990099009904
image,99,0.0,0.0,0.0
image,100,0.0,0.0,0.0
image,97,0.0,0.14814814814814814,0.23232805676855897
image,101,0.0,0.0,0.04
image,102,0.0,0.0,0.0
image,105,0.0,0.08333333333333333,0.07874015748031496
image,106,0.0,0.4999999999999999,0.3276353276353277
image,107,0.0,0.4,0.33223684210526316
image,103,0.0,0.0,0.0
image,110,0.0,0.0,0.0
image,108,0.0,0.43902439024390244,0.40780141843971635
image,112,0.0,0.0,0.04464285714285715
image,104,0.0,0.0,0.03623188405797102
image,109,0.0,0.4,0.29614804501682335
image,115,0.0,0.0,0.0
image,114,0.0,0.02150537634408602,0.11029411764705885
image,67,0.0,0.0,0.0
image,113,0.0,0.0,0.0
image,111,0.0,0.1702127659574468,0.17619375573921026
image,116,0.0,0.0,0.0
image,117,0.0,0.6666666666666666,0.5030621172353457
image,118,0.0,0.20833333333333334,0.28714107365792757
image,123,0.0,0.0,0.0
image,122,0.0,0.0,0.17871017871017872
image,120,0.0,0.5714285714285714,0.5598817394160884
image,121,0.0,0.20512820512820512,0.2928815340162858
image,124,0.0,0.0,0.03424657534246576
image,126,0.0,0.2857142857142857,0.23038321167883213
image,125,0.0,0.8666666666666666,0.6782713085234094
image,128,0.0,0.1176470588235294,0.14705882352941177
image,129,0.0,0.8387096774193549,0.5761904761904763
image,130,0.0,0.05555555555555555,0.10101010101010101
image,119,0.0,0.0,0.0
image,132,0.0,0.3,0.40487804878048783
image,133,0.0,0.0,0.0
image,131,0.0,0.22641509433962265,0.2440510321100918
image,127,0.0,0.3333333333333333,0.46254399195575674
image,134,0.0,0.0909090909090909,0.062111801242236024
image,135,0.0,0.14634146341463414,0.138121546961326
image,137,0.0,0.43749999999999994,0.42357274401473294
image,140,0.0,0.30303030303030304,0.18324607329842932
image,139,0.0,0.4691358024691358,0.3695468103778854
image,141,0.0,0.39215686274509803,0.3553898132211385
image,136,0.0,0.10526315789473684,0.13786764705882357
image,138,0.0,0.3636363636363636,0.36712665406427225
image,143,0.0,0.43478260869565216,0.4244039208268895
image,144,0.0,0.25806451612903225,0.3056078339116627
image,145,0.0,0.26666666666666666,0.22897164563831232
image,142,0.0,0.32,0.19425587467362926
